host_neighbourhood,host_identity_verified,neighbourhood,city,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
Palo Alto,t,Palo Alto,Palo Alto,94306,Private room in home,Private room,1,1,1,1,7,7,7,268,40,4.63,4.83,4.83,4.78,4.78,4.73,4.58
San Jose,t,San Jose,San Jose,95123,Private room in home,Private room,2,1,1,1,30,60,90,365,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
New York,t,New York,New York,94043,Entire rental unit,Entire home/apt,4,1,2,2,0,0,14,280,6,4.5,4,4.5,4.17,3.5,5,4.5
Central San Jose,t,San Jose,San Jose,95110,Entire condo,Entire home/apt,8,1,4,7,30,56,86,361,10,4.3,4.5,3.4,4.6,4.8,4.3,4.1
Willow Glen,f,San Jose,San Jose,95124,Private room in home,Private room,2,1,1,1,0,17,47,322,26,4.92,4.81,4.42,5,4.96,4.88,4.81
Los Altos,t,California,California,94022,Private room in home,Private room,2,1,1,1,16,44,74,349,77,5,4.97,5,4.93,4.97,4.93,4.88
Berryessa,t,San Jose,San Jose,95132,Private room in home,Private room,3,1,1,2,0,0,0,141,154,4.89,4.95,4.85,5,4.93,4.9,4.9
Willow Glen,f,San Jose,San Jose,95124,Private room in home,Private room,2,1,1,1,9,39,69,344,28,4.82,4.71,4.46,4.96,4.96,4.93,4.71
Saratoga,f,Saratoga,Saratoga,95070,Private room in villa,Private room,2,1,1,1,26,56,86,360,31,4.94,5,4.94,4.97,5,4.97,4.94
Santa Clara,t,Santa Clara,San Francisco,95051,Shared room in home,Shared room,4,1,1,4,30,60,90,365,32,4.84,4.81,4.71,5,4.94,4.84,4.81
Santa Clara,t,Santa Clara,San Francisco,95051,Shared room in home,Shared room,12,1,1,12,30,60,90,365,44,4.95,4.88,4.8,4.9,5,4.78,4.85
Santa Clara,t,Santa Clara,San Francisco,95051,Shared room in home,Shared room,4,1,1,1,30,60,90,365,49,4.94,4.91,4.87,5,5,4.87,4.89
Mountain View,t,Mountain View,Mountain View,94043,Private room in home,Private room,2,1,1,1,0,0,0,49,138,4.87,4.86,4.72,4.95,4.89,4.92,4.77
Mountain View,t,Mountain View,Mountain View,94039,Private room in home,Private room,2,1,1,1,0,0,0,0,396,4.85,4.87,4.84,4.92,4.96,4.92,4.8
Santa Clara,t,Santa Clara,San Francisco,95051,Shared room in home,Shared room,4,1,1,4,30,60,90,365,18,5,5,4.83,5,5,4.89,4.83
Santa Clara,t,Santa Clara,Santa Clara,95051,Private room in home,Private room,2,1,1,1,3,3,3,78,421,4.95,4.96,4.95,4.98,4.99,4.9,4.88
Santa Clara,t,Santa Clara,San Francisco,95051,Private room in home,Private room,6,1,1,4,30,60,90,365,17,5,4.88,4.75,5,5,4.88,4.75
Sunnyvale,t,Sunnyvale,San Francisco,94087,Entire condo,Entire home/apt,2,1,2,2,0,0,0,272,9,5,5,4.78,5,5,4.89,4.89
Five Wounds/Brookwood Terrace,t,San Jose,San Jose,95116,Entire home,Entire home/apt,4,1,2,2,7,30,56,56,201,4.86,4.88,4.87,4.93,4.95,4.78,4.85
Palo Alto,t,Palo Alto,Palo Alto,94306,Private room in home,Private room,2,1,1,1,11,41,58,323,105,4.57,4.73,4.43,4.88,4.87,4.78,4.58
Mountain View,t,Mountain View,Mountain View,94043,Private room in townhouse,Private room,1,1,1,2,0,0,0,171,44,4.89,4.98,4.84,4.95,4.98,4.93,4.88
Saratoga,t,Saratoga,Saratoga,95070,Entire guest suite,Entire home/apt,6,1,2,3,24,54,84,316,133,4.83,4.83,4.95,4.88,4.89,4.92,4.81
Santa Clara,f,Santa Clara,Mountain View,95051,Entire rental unit,Entire home/apt,2,1,1,1,6,6,6,82,8,4.88,4.88,4.75,5,5,4.63,4.5
Santa Clara,f,Mountain View,Mountain View,95051,Entire rental unit,Entire home/apt,1,1,1,1,1,21,51,326,4,4.75,5,4.75,5,5,5,4.5
Edenvale,t,San Jose,San Jose,95111,Private room in home,Private room,2,1,1,1,12,12,12,228,39,4.82,4.81,4.65,4.95,4.97,4.64,4.86
Palo Alto,t,Palo Alto,California,94306,Private room in home,Private room,1,1,1,1,0,0,0,165,88,4.9,4.9,4.76,4.98,4.99,4.88,4.86
Mountain View,t,Mountain View,Mountain View,94041,Entire home,Entire home/apt,6,1,2,4,30,60,90,365,25,5,4.96,4.96,4.92,5,5,4.71
Santa Clara,f,Mountain View,Mountain View,94040,Entire rental unit,Entire home/apt,2,1,1,1,0,0,10,285,9,4.78,4.89,4.78,5,5,5,4.67
Palo Alto,f,Palo Alto,Palo Alto,94036,Entire guesthouse,Entire home/apt,1,1,1,1,24,52,82,357,251,4.86,4.9,4.94,4.91,4.83,4.91,4.74
Mountain View,t,Mountain View,Mountain View,94039,Entire rental unit,Entire home/apt,5,1,2,3,7,37,59,293,220,4.85,4.92,4.93,4.95,4.93,4.83,4.73
Mountain View,t,Mountain View,Mountain View,94039,Private room in rental unit,Private room,2,1,1,1,0,2,2,2,8,4.75,4.29,4.86,5,4.86,4.86,4.86
Mountain View,f,Mountain View,Mountain View,94043,Entire home,Entire home/apt,6,1,3,4,19,49,79,349,9,4.67,4.67,4.56,4.89,5,4.89,4.44
Santa Clara,f,Mountain View,Mountain View,94807,Entire rental unit,Entire home/apt,3,1,2,2,30,60,90,270,15,4.53,4.73,4.73,4.73,4.67,4.73,4.4
Los Gatos,t,Los Gatos,Los Gatos,95030,Entire guest suite,Entire home/apt,2,1,1,1,19,49,79,168,17,4.8,4.69,4.94,4.81,4.88,5,4.5
Santa Clara,t,Sunnyvale,San Francisco,94085,Private room in home,Private room,2,1,1,4,0,0,1,276,15,4.87,4.73,4.53,4.93,4.93,4.86,4.79
Santa Clara,t,Santa Clara,San Francisco,94085,Shared room in home,Shared room,4,1,1,4,30,60,90,365,21,4.85,4.85,4.9,4.95,4.95,4.8,4.85
Morgan Hill,f,Morgan Hill,Morgan Hill,95037,Private room in home,Private room,1,1,1,1,30,60,90,365,1,5,5,5,5,5,5,5
Palo Alto,t,Palo Alto,Palo Alto,94306,Private room in home,Private room,1,1,1,1,0,0,17,292,70,4.84,4.85,4.61,4.94,4.94,4.84,4.8
Santa Clara,t,Sunnyvale,San Francisco,94085,Shared room in home,Shared room,6,1,1,4,30,60,90,365,18,5,5,4.69,4.94,5,4.81,4.75
Santa Clara,t,Sunnyvale,San Francisco,94085,Shared room in home,Shared room,6,1,1,4,30,60,90,365,23,4.83,4.52,4.61,5,4.96,4.78,4.7
Berryessa,t,San Jose,San Jose,95132,Entire home,Entire home/apt,7,1,3,4,0,0,0,0,4,4.75,4.75,4.25,5,5,5,5
Palo Alto,t,Palo Alto,California,94306,Private room in home,Private room,2,1,1,1,0,0,0,100,67,4.84,4.84,4.63,4.92,4.95,4.86,4.68
Edenvale,t,San Jose,San Jose,95111,Private room in home,Private room,1,1,1,1,18,48,78,352,29,4.93,4.89,4.85,4.96,4.96,4.78,4.89
Palo Alto,f,Palo Alto,Palo Alto,94306,Entire bungalow,Entire home/apt,4,1,2,3,0,0,0,100,30,4.87,4.79,4.44,4.89,4.96,4.75,4.71
Mountain View,t,Mountain View,Mountain View,94041,Entire bungalow,Entire home/apt,6,1,2,5,27,57,87,362,73,4.9,4.93,4.88,4.96,4.99,5,4.78
Sunnyvale,t,Sunnyvale,San Francisco,94085,Private room in home,Private room,2,1,1,1,2,19,47,322,223,4.77,4.87,4.84,4.96,4.87,4.81,4.79
Edenvale,t,San Jose,San Jose,95111,Private room in home,Private room,2,1,1,1,0,0,0,203,45,4.9,4.77,4.64,4.98,4.91,4.61,4.86
Santa Clara,f,Sunnyvale,Mountain View,95051,Entire rental unit,Entire home/apt,2,1,1,2,18,48,78,261,15,4.8,4.93,4.8,4.93,5,4.73,4.8
Cupertino,t,Cupertino,Los Angeles,95014,Entire condo,Entire home/apt,5,1,1,2,24,54,84,358,56,4.84,4.87,4.62,4.87,4.96,4.94,4.76
Palo Alto,t,United States,United States,94022,Entire cottage,Entire home/apt,2,1,1,1,26,56,85,85,193,4.88,4.89,4.89,4.96,4.96,4.82,4.76
Los Gatos,t,Los Gatos,Los Gatos,95033,Entire guesthouse,Entire home/apt,2,1,1,1,0,0,3,3,230,5,4.98,5,4.99,4.98,4.93,4.97
Palo Alto,t,Palo Alto,Palo Alto,94301,Entire condo,Entire home/apt,3,1,2,2,0,0,1,126,47,4.98,4.98,5,5,4.93,5,4.8
Los Altos,t,Los Altos,United States,94022,Private room in home,Private room,1,1,1,1,28,58,87,87,32,4.72,4.69,4.66,4.81,4.97,4.88,4.53
Fremont,t,Milpitas,Fremont,95035,Entire townhouse,Entire home/apt,6,1,2,5,0,30,60,334,111,4.71,4.84,4.86,4.87,4.87,4.72,4.76
Palo Alto,t,Menlo Park,Menlo Park,94301,Entire home,Entire home/apt,6,1,3,3,0,0,4,21,237,4.94,4.94,4.91,4.95,4.97,4.91,4.77
College Park,t,San Jose,San Jose,95126,Private room in home,Private room,1,1,1,1,0,0,0,261,162,4.93,4.97,4.91,4.97,4.98,4.97,4.9
Santa Clara,t,San Jose,San Francisco,95112,Shared room in home,Shared room,4,1,1,3,30,60,90,365,24,4.74,4.43,4.39,4.82,5,4.5,4.5
Santa Clara,t,San Francisco,San Francisco,94085,Private room in home,Private room,6,1,1,4,30,60,90,365,18,4.94,4.89,4.83,4.94,4.94,4.89,4.94
Santa Clara,t,San Jose,San Francisco,95112,Private room in home,Private room,2,1,1,1,30,60,90,365,16,4.5,3.88,4.31,4.75,4.94,4.5,4.38
Santa Clara,t,Sunnyvale,San Francisco,94085,Shared room in home,Shared room,6,1,1,4,30,60,90,365,19,5,4.88,4.56,5,5,4.65,4.65
Saratoga,f,Saratoga,Saratoga,95070,Entire home,Entire home/apt,6,1,3,3,27,57,87,361,43,4.91,4.84,4.93,4.91,5,5,4.84
Berryessa,t,San Jose,San Jose,95132,Private room in home,Private room,1,1,1,1,14,17,17,278,67,4.88,4.92,4.85,4.95,4.98,4.89,4.91
Santa Clara,t,San Jose,San Francisco,95112,Shared room in home,Shared room,4,1,1,3,30,60,90,365,23,4.81,4.64,4.68,4.82,4.91,4.73,4.64
Mountain View,t,Mountain View,San Francisco,94039,Entire home,Entire home/apt,6,1,3,3,8,13,13,242,37,4.79,4.97,4.71,4.94,5,4.86,4.69
West Valley,t,San Jose,San Jose,95128,Entire loft,Entire home/apt,4,1,1,1,10,40,70,345,95,4.97,4.95,4.97,5,4.98,4.99,4.9
Palo Alto,t,Palo Alto,United States,94022,Entire home,Entire home/apt,6,1,3,3,5,24,41,85,29,4.89,4.93,4.59,4.96,4.89,4.85,4.65
Santa Clara,t,San Jose,San Francisco,95112,Shared room in home,Shared room,4,1,1,3,25,55,85,360,27,4.85,4.85,4.67,4.96,5,4.78,4.81
Palo Alto,t,Palo Alto,Palo Alto,94306,Entire place,Entire home/apt,2,1,1,1,3,33,62,62,1,5,5,5,5,5,5,5
Palo Alto,t,Palo Alto,Palo Alto,94301,Private room in home,Private room,1,1,1,1,0,0,17,292,204,4.79,4.84,4.82,4.86,4.85,4.9,4.72
Los Altos,f,Los Altos,Los Altos,94024,Private room in home,Private room,1,1,1,1,29,59,89,179,46,4.78,4.8,4.8,4.91,4.89,4.77,4.8
Willow Glen,t,San Jose,San Jose,95125,Entire guest suite,Entire home/apt,2,1,1,1,16,46,75,75,245,4.9,4.93,4.92,4.97,4.97,4.97,4.85
Palo Alto,t,Palo Alto,Palo Alto,94301,Entire bungalow,Entire home/apt,3,1,1,2,19,49,79,79,26,4.81,4.65,4.96,4.96,4.92,4.54,4.73
Palo Alto,t,Palo Alto,Santa Clara,94306,Entire rental unit,Entire home/apt,5,1,2,3,30,60,90,90,50,4.42,4.5,4.62,4.88,4.94,4.33,4.19
Palo Alto,t,Palo Alto,Palo Alto,94301,Entire guesthouse,Entire home/apt,2,1,1,1,0,19,26,271,122,4.91,4.93,4.85,4.99,4.98,4.95,4.83
Palo Alto,t,Palo Alto,Palo Alto,94303,Entire guest suite,Entire home/apt,2,1,1,1,0,0,0,171,189,4.97,4.98,4.98,4.99,4.98,4.9,4.88
Campbell,t,San Jose,San Jose,95008,Private room in guest suite,Private room,2,1,1,1,0,0,0,203,35,4.89,4.88,4.94,4.94,4.94,4.88,4.85
Campbell,t,San Jose,San Jose,95008,Private room in guest suite,Private room,2,1,1,1,0,0,0,202,53,4.76,4.76,4.63,4.9,4.88,4.76,4.73
Mountain View,t,Mountain View,Mountain View,94040,Entire home,Entire home/apt,5,1,3,4,0,0,0,0,3,5,5,5,5,5,4.67,5
Campbell,t,Campbell,Campbell,95032,Private room in home,Private room,1,1,1,1,0,0,0,33,64,5,5,5,4.98,5,4.92,4.95
Mountain View,t,Mountain View,Mountain View,94043,Private room in rental unit,Private room,1,1,1,1,0,2,2,204,8,3.88,4,3,4.71,4.29,4.71,4.71
Palo Alto,t,Palo Alto,Palo Alto,94301,Entire home,Entire home/apt,2,1,2,2,7,14,44,318,78,4.88,4.86,4.81,4.88,4.92,4.97,4.76
Willow Glen,t,San Jose,San Jose,95125,Entire home,Entire home/apt,8,1,4,5,25,48,78,168,136,4.81,4.89,4.81,4.92,4.86,4.93,4.75
Berryessa,t,San Jose,San Jose,95131,Entire home,Entire home/apt,6,1,4,5,18,48,78,353,15,4.93,5,5,5,5,4.93,4.79
Palo Alto,t,Palo Alto,Palo Alto,94301,Entire home,Entire home/apt,5,1,3,4,0,0,17,17,9,5,5,4.63,5,5,5,4.88
Berryessa,t,San Jose,San Jose,95031,Entire townhouse,Entire home/apt,6,1,3,2,4,34,64,339,16,4.93,4.81,5,4.94,5,4.94,4.88
South San Jose,f,San Jose,San Jose,95118,Private room in home,Private room,1,1,1,1,0,0,0,0,2,5,5,5,5,5,5,5
Santa Clara,t,Sunnyvale,San Francisco,94085,Shared room in home,Shared room,6,1,1,4,30,60,90,365,16,4.63,4.56,4.5,4.75,4.94,4.81,4.44
Santa Clara,t,Sunnyvale,San Francisco,94085,Shared room in home,Shared room,6,1,1,4,30,60,90,365,15,4.79,4.36,4.5,4.93,5,4.79,4.57
Santa Clara,t,Sunnyvale,San Francisco,94085,Shared room in home,Shared room,6,1,1,4,30,60,90,365,12,4.92,4.75,4.58,5,5,4.92,4.83
Santa Clara,f,Sunnyvale,Mountain View,94086,Entire townhouse,Entire home/apt,4,1,3,3,0,0,0,270,11,4.9,4.89,5,5,5,5,5
Mountain View,t,Mountain View,California,94043,Entire home,Entire home/apt,8,1,3,3,0,18,48,137,48,5,4.96,5,5,5,4.94,4.92
Downtown,t,San Jose,Miami,95112,Entire guesthouse,Entire home/apt,2,1,1,3,0,0,29,304,184,4.42,4.61,4.32,4.79,4.68,4.63,4.33
Santa Cruz,f,Los Gatos,Los Gatos,95030,Entire home,Entire home/apt,1,1,1,1,30,60,90,365,1,5,5,5,5,5,5,5
Cupertino,t,Cupertino,Cupertino,95014,Private room in townhouse,Private room,1,1,1,1,30,60,90,364,67,4.82,4.94,4.85,4.94,4.92,4.91,4.76
West Valley,t,San Jose,San Jose,95128,Entire condo,Entire home/apt,4,1,2,2,0,0,0,258,51,4.94,4.92,4.9,4.96,4.96,5,4.67
Mountain View,t,Mountain View,Mountain View,94041,Entire condo,Entire home/apt,4,1,1,1,0,0,0,0,56,4.53,4.66,4.4,4.79,4.94,4.83,4.64
West Valley,t,San Jose,San Jose,95130,Shared room in home,Shared room,1,1,1,4,0,0,18,293,51,4.94,5,4.9,4.96,4.98,4.88,4.9
Palo Alto,f,Palo Alto,Palo Alto,94301,Entire rental unit,Entire home/apt,2,1,1,1,9,38,68,343,49,4.45,4.59,4.37,4.69,4.51,4.98,4.55
Los Gatos,t,Los Gatos,Los Gatos,95033,Entire cabin,Entire home/apt,3,1,1,2,3,32,62,337,300,4.9,4.87,4.87,4.94,4.92,4.88,4.76
Shasta/Hanchett Park,t,San Jose,San Jose,95126,Private room in home,Private room,2,1,1,1,21,25,41,316,460,4.78,4.85,4.82,4.89,4.91,4.85,4.78
Los Altos Hills,t,Los Altos Hills,Los Altos Hills,94022,Entire home,Entire home/apt,3,1,2,2,18,35,65,79,6,5,4.83,5,5,5,5,5
Sunnyvale,t,Sunnyvale,Sunnyvale,94085,Private room in home,Private room,1,1,1,1,0,3,33,308,6,4.83,4.83,4.67,4.83,4.83,4.5,4.67
Five Wounds/Brookwood Terrace,t,San Jose,San Francisco,95116,Entire home,Entire home/apt,7,1,3,4,24,54,84,263,186,4.77,4.84,4.83,4.94,4.97,4.75,4.77
Palo Alto,t,Palo Alto,Palo Alto,94036,Private room in condo,Private room,1,1,1,1,26,56,86,176,86,4.94,4.87,4.94,4.99,4.99,4.94,4.88
North San Jose,t,Santa Clara,Santa Clara,95134,Entire rental unit,Entire home/apt,3,1,1,1,30,60,90,365,48,4.89,4.91,4.87,4.91,4.96,4.85,4.83
Palo Alto,t,Palo Alto,Palo Alto,94301,Entire home,Entire home/apt,6,1,5,7,0,0,0,80,14,4.64,4.77,4.69,4.69,4.85,5,4.38
Santa Clara,t,Mountain View,San Francisco,94041,Shared room in home,Shared room,4,1,1,4,30,60,90,365,19,4.79,4.53,4.16,4.95,4.84,4.84,4.63
West Valley,t,San Jose,San Jose,95130,Shared room in home,Shared room,1,1,1,4,29,59,89,364,35,4.83,4.86,4.71,4.86,4.91,4.46,4.83
West Valley,t,San Jose,San Jose,95130,Shared room in home,Shared room,1,1,1,4,6,36,66,341,33,4.97,4.97,4.76,4.97,5,4.88,4.79
Alum Rock,t,San Jose,San Jose,95127,Entire home,Entire home/apt,12,1,4,7,5,28,53,320,207,4.92,4.92,4.81,4.93,4.97,4.87,4.89
Santa Clara,t,Mountain View,San Francisco,94041,Shared room in home,Shared room,4,1,1,4,6,36,66,341,29,4.72,4.69,4.41,4.93,4.71,5,4.64
West Valley,t,San Jose,San Jose,95130,Entire guesthouse,Entire home/apt,4,1,2,2,0,15,36,288,159,4.96,4.97,4.96,4.97,4.98,4.92,4.96
Palo Alto,t,Palo Alto,Palo Alto,94306,Private room in home,Private room,2,1,1,1,19,41,62,78,124,4.98,4.96,4.97,4.98,5,4.95,4.9
West Valley,t,San Jose,San Jose,95130,Shared room in home,Shared room,1,1,1,4,6,6,6,6,24,5,4.79,4.67,4.96,5,4.88,4.96
Mountain View,t,Mountain View,Mountain View,94039,Entire rental unit,Entire home/apt,5,1,2,3,12,40,68,323,263,4.87,4.91,4.85,4.96,4.97,4.82,4.76
Campbell,t,Campbell,Campbell,95008,Entire rental unit,Entire home/apt,5,1,2,3,0,0,0,0,150,4.91,4.92,4.94,4.93,4.89,4.96,4.83
Santa Clara,t,Santa Clara,Santa Clara,95054,Private room in condo,Private room,1,1,1,1,0,0,17,292,18,4.89,4.83,4.94,4.89,4.78,5,4.78
West Valley,t,San Jose,San Jose,95130,Shared room in home,Shared room,1,1,1,4,30,60,90,365,37,4.92,4.97,4.89,4.97,4.97,4.7,4.86
West Valley,t,San Jose,San Jose,95130,Shared room in home,Shared room,1,1,1,4,18,48,78,353,44,4.89,4.89,4.8,4.98,4.95,4.75,4.86
West Valley,t,San Jose,San Jose,95130,Shared room in home,Shared room,1,1,1,4,30,60,90,365,39,4.87,4.87,4.9,4.87,4.9,4.67,4.85
West University,t,Hollister,Tucson,,Entire home,Entire home/apt,4,1,1,2,29,59,88,88,33,4.67,4.67,4.76,4.88,4.94,4.72,4.28
Burbank/Del Monte,t,San Jose,San Jose,95126,Entire condo,Entire home/apt,4,1,1,1,15,45,75,350,37,4.92,4.95,4.86,4.92,4.97,4.86,4.95
West Valley,t,Cupertino,Sacramento,95129,Entire condo,Entire home/apt,2,1,1,1,0,2,30,30,1,5,5,5,5,5,5,5
Palo Alto,t,Palo Alto,Palo Alto,94036,Entire home,Entire home/apt,1,1,1,1,0,17,47,136,192,4.9,4.91,4.96,4.96,4.99,4.93,4.91
West Valley,t,San Jose,San Jose,95130,Shared room in home,Shared room,1,1,1,4,19,49,79,354,52,4.92,4.85,4.83,4.9,4.96,4.75,4.88
Los Gatos,t,Los Gatos,Los Gatos,95008,Entire cottage,Entire home/apt,2,1,1,2,15,40,58,122,101,4.96,5,4.93,4.98,5,4.91,4.94
Milpitas,f,Milpitas,Milpitas,95035,Private room in home,Private room,1,1,1,1,0,0,0,269,22,4.91,4.9,5,5,5,5,4.81
Santa Clara,t,Santa Clara,Santa Clara,95051,Private room in rental unit,Private room,1,1,1,1,29,29,29,29,25,4.92,4.96,5,4.92,4.96,4.88,4.88
Berryessa,t,United States,United States,95131,Entire condo,Entire home/apt,7,1,3,3,13,31,54,322,54,4.57,4.81,4.57,4.83,4.76,4.76,4.5
Berryessa,t,San Jose,San Jose,95132,Private room in home,Private room,2,1,1,1,30,60,90,365,5,4.6,4.6,4.4,4.8,4.8,4.8,4.6
West Valley,t,San Jose,San Jose,95128,Entire loft,Entire home/apt,6,1,2,2,25,38,38,82,65,4.97,4.97,5,4.94,5,5,4.82
Cambrian/Pioneer,t,San Jose,San Jose,95118,Entire home,Entire home/apt,2,1,1,1,5,22,22,22,144,4.74,4.86,4.74,4.97,4.95,4.77,4.64
West Valley,t,San Jose,San Jose,95130,Shared room in home,Shared room,1,1,1,4,23,53,83,358,48,4.92,4.98,4.91,5,5,4.79,4.94
Los Gatos,t,Los Gatos,Los Gatos,95032,Private room in home,Private room,2,1,1,1,0,0,0,261,35,4.71,4.94,4.97,4.94,4.85,4.79,4.59
Los Altos,f,Los Altos,Los Altos,94024,Private room in home,Private room,2,1,1,2,8,38,68,68,58,4.79,4.87,4.8,4.94,4.91,4.89,4.85
Santa Clara,t,Santa Clara,Santa Clara,95051,Entire home,Entire home/apt,6,1,2,2,14,31,61,336,152,4.95,4.93,4.96,4.95,4.98,4.88,4.95
Los Altos,f,Los Altos,Los Altos,94024,Entire home,Entire home/apt,6,1,4,4,0,0,0,77,35,4.57,4.69,4.34,4.91,4.83,4.94,4.46
Los Altos,t,Los Altos,Los Altos,94040,Entire home,Entire home/apt,6,1,3,3,0,0,0,48,6,4.67,5,4.67,4.67,4.67,4.67,4.67
Los Altos,f,Los Altos,Los Altos,94024,Private room in home,Private room,1,1,1,1,30,60,90,180,63,4.9,4.89,4.87,4.9,4.9,4.85,4.89
Los Altos,f,Los Altos,Los Altos,94024,Private room in home,Private room,1,1,1,1,19,49,79,169,48,4.77,4.83,4.79,4.9,4.92,4.88,4.75
Palo Alto,t,Palo Alto,Palo Alto,94301,Private room in home,Private room,1,1,1,1,0,0,0,261,114,4.74,4.88,4.78,4.85,4.88,4.9,4.64
Santa Clara,t,Mountain View,San Francisco,94039,Shared room in home,Shared room,4,1,1,4,30,60,90,365,23,4.73,4.5,4.27,4.95,4.95,5,4.68
Mountain View,f,Mountain View,Mountain View,94039,Entire guest suite,Entire home/apt,2,1,1,1,13,41,71,161,450,4.88,4.9,4.93,4.95,4.96,4.86,4.8
Palo Alto,t,Palo Alto,Palo Alto,94303,Private room in home,Private room,1,1,1,1,0,0,11,11,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Berryessa,f,Berryessa,Berryessa,95132,Private room in home,Private room,2,1,1,1,0,0,0,0,0,4.723695609,4.793311192,4.725696457,4.867116972,4.832890499,4.813823233,4.681938796
Burbank/Del Monte,t,San Jose,San Jose,95128,Private room in bungalow,Private room,1,1,1,1,0,0,0,87,36,4.6,4.74,4.66,4.94,4.83,4.54,4.57
