host_neighbourhood,host_identity_verified,neighbourhood,city,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet,security_deposit,cleaning_fee,guests_included,extra_people,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy
Sunnyvale,f,Sunnyvale,Sunnyvale,94086,Private room in home,Private room,2,1,1,2,Real Bed,718.1781305,100,50,1,35,5,35,65,65,121,99.4,9.8,9.78,9.98,9.92,9.7,9.56,strict
Downtown,t,San Jose,San Jose,95112,Private room in home,Private room,1,1,1,1,Real Bed,718.1781305,100,35,1,0,29,59,89,364,185,95.8,9.56,9.08,9.78,9.88,9.22,9.56,strict
Palo Alto,t,Palo Alto,Palo Alto,94306,Private room in villa,Private room,2,1,1,2,Real Bed,718.1781305,600,50,3,0,0,0,0,0,15,97.4,10,9.6,9.74,9.74,9.86,9.86,strict
Campbell,t,United States,United States,95008,Private room in home,Private room,1,1,1,1,Real Bed,718.1781305,100,50,1,12,0,0,0,0,0,94.47391218,9.586622384,9.451392914,9.734233944,9.665780998,9.627646466,9.363877592,moderate
Palo Alto,t,Palo Alto,Palo Alto,94303,Private room in home,Private room,1,1,1,1,Real Bed,718.1781305,100,50,1,50,17,43,73,348,60,98.4,9.96,9.94,9.96,9.9,10,9.8,moderate
Santa Clara,t,Santa Clara,Santa Clara,95051,Private room in home,Private room,2,1,1,1,Real Bed,718.1781305,100,50,1,25,12,42,72,347,146,95.2,9.56,9.6,9.7,9.74,9.42,9.38,strict
West Valley,t,San Jose,San Jose,95128,Entire loft,Entire home/apt,4,1,1,1,Real Bed,718.1781305,100,20,1,0,16,46,76,351,136,98.6,9.9,9.84,9.96,9.94,10,9.72,moderate
Mountain View,t,Mountain View,Mountain View,94040,Entire home,Entire home/apt,4,1,2,3,Real Bed,718.1781305,100,50,1,0,0,0,0,0,0,94.47391218,9.586622384,9.451392914,9.734233944,9.665780998,9.627646466,9.363877592,flexible
Edenvale,t,San Jose,San Jose,95111,Entire home,Entire home/apt,16,1,5,6,Real Bed,718.1781305,100,10,1,10,30,60,90,365,15,83,8.66,9,9.16,8.84,9.5,9,flexible
Palo Alto,t,Palo Alto,Palo Alto,94036,Entire place,Entire home/apt,2,1,1,1,Real Bed,718.1781305,100,15,1,10,8,19,36,307,138,98,9.84,9.62,9.98,9.92,9.6,9.6,strict
Palo Alto,t,Palo Alto,Palo Alto,94306,Private room in bungalow,Private room,2,1,1,2,Real Bed,718.1781305,95,50,2,10,0,0,0,0,59,98.2,9.78,9.68,10,9.92,9.72,9.76,moderate
Saratoga,t,Saratoga,Saratoga,95070,Entire home,Entire home/apt,6,1,3,4,Real Bed,718.1781305,100,10,1,8,28,58,88,177,11,100,9.28,8,10,10,9.82,9.46,flexible
Willow Glen,f,San Jose,San Jose,95124,Private room in home,Private room,2,1,1,1,Real Bed,718.1781305,100,15,1,10,0,17,47,322,32,95.4,9.22,8.7,9.94,9.8,9.62,9.62,strict
Saratoga,f,Saratoga,Saratoga,95070,Private room in villa,Private room,2,1,1,1,Real Bed,718.1781305,1500,75,2,25,0,0,1,275,64,98.8,9.9,9.82,10,9.94,9.9,9.84,strict
Palo Alto,t,Palo Alto,Palo Alto,94306,Private room in home,Private room,1,1,1,1,Real Bed,718.1781305,100,30,1,0,7,7,7,268,40,92.6,9.66,9.66,9.56,9.56,9.46,9.16,strict
San Jose,t,San Jose,San Jose,95123,Private room in home,Private room,2,1,1,1,Real Bed,718.1781305,100,17,1,10,30,60,90,365,0,94.47391218,9.586622384,9.451392914,9.734233944,9.665780998,9.627646466,9.363877592,strict
New York,t,New York,New York,94043,Entire rental unit,Entire home/apt,4,1,2,2,Real Bed,718.1781305,200,50,1,0,0,0,14,280,6,90,8,9,8.34,7,10,9,strict
Central San Jose,t,San Jose,San Jose,95110,Entire condo,Entire home/apt,8,1,4,7,Real Bed,718.1781305,100,50,1,15,30,56,86,361,10,86,9,6.8,9.2,9.6,8.6,8.2,moderate
Willow Glen,f,San Jose,San Jose,95124,Private room in home,Private room,2,1,1,1,Real Bed,718.1781305,100,50,1,16,0,17,47,322,26,98.4,9.62,8.84,10,9.92,9.76,9.62,strict
Los Altos,t,California,California,94022,Private room in home,Private room,2,1,1,1,Real Bed,718.1781305,100,15,1,15,16,44,74,349,77,100,9.94,10,9.86,9.94,9.86,9.76,strict
Berryessa,t,San Jose,San Jose,95132,Private room in home,Private room,3,1,1,2,Real Bed,718.1781305,100,50,1,0,0,0,0,141,154,97.8,9.9,9.7,10,9.86,9.8,9.8,flexible
Willow Glen,f,San Jose,San Jose,95124,Private room in home,Private room,2,1,1,1,Real Bed,718.1781305,100,50,1,0,9,39,69,344,28,96.4,9.42,8.92,9.92,9.92,9.86,9.42,flexible
Saratoga,f,Saratoga,Saratoga,95070,Private room in villa,Private room,2,1,1,1,Real Bed,718.1781305,100,15,1,30,26,56,86,360,31,98.8,10,9.88,9.94,10,9.94,9.88,strict
Santa Clara,t,Santa Clara,San Francisco,95051,Shared room in home,Shared room,4,1,1,4,Real Bed,718.1781305,100,50,1,0,30,60,90,365,32,96.8,9.62,9.42,10,9.88,9.68,9.62,flexible
Santa Clara,t,Santa Clara,San Francisco,95051,Shared room in home,Shared room,12,1,1,12,Real Bed,718.1781305,300,60,2,15,30,60,90,365,44,99,9.76,9.6,9.8,10,9.56,9.7,strict
Santa Clara,t,Santa Clara,San Francisco,95051,Shared room in home,Shared room,4,1,1,1,Real Bed,718.1781305,100,50,1,0,30,60,90,365,49,98.8,9.82,9.74,10,10,9.74,9.78,flexible
Mountain View,t,Mountain View,Mountain View,94043,Private room in home,Private room,2,1,1,1,Real Bed,718.1781305,100,50,1,0,0,0,0,49,138,97.4,9.72,9.44,9.9,9.78,9.84,9.54,flexible
Mountain View,t,Mountain View,Mountain View,94039,Private room in home,Private room,2,1,1,1,Real Bed,718.1781305,100,50,1,10,0,0,0,0,396,97,9.74,9.68,9.84,9.92,9.84,9.6,flexible
Santa Clara,t,Santa Clara,San Francisco,95051,Shared room in home,Shared room,4,1,1,4,Real Bed,718.1781305,2000,400,1,25,30,60,90,365,18,100,10,9.66,10,10,9.78,9.66,strict
Santa Clara,t,Santa Clara,Santa Clara,95051,Private room in home,Private room,2,1,1,1,Airbed,718.1781305,95,85,2,5,3,3,3,78,421,99,9.92,9.9,9.96,9.98,9.8,9.76,strict
Santa Clara,t,Santa Clara,San Francisco,95051,Private room in home,Private room,6,1,1,4,Real Bed,718.1781305,250,95,6,30,30,60,90,365,17,100,9.76,9.5,10,10,9.76,9.5,strict
Sunnyvale,t,Sunnyvale,San Francisco,94087,Entire condo,Entire home/apt,2,1,2,2,Real Bed,718.1781305,300,60,1,15,0,0,0,272,9,100,10,9.56,10,10,9.78,9.78,strict
Five Wounds/Brookwood Terrace,t,San Jose,San Jose,95116,Entire home,Entire home/apt,4,1,2,2,Real Bed,718.1781305,300,70,4,15,7,30,56,56,201,97.2,9.76,9.74,9.86,9.9,9.56,9.7,strict
Palo Alto,t,Palo Alto,Palo Alto,94306,Private room in home,Private room,2,1,1,1,Real Bed,718.1781305,100,75,1,0,11,41,58,323,105,91.4,9.46,8.86,9.76,9.74,9.56,9.16,moderate
Mountain View,t,Mountain View,Mountain View,94043,Private room in townhouse,Private room,1,1,1,2,Real Bed,718.1781305,100,50,1,0,0,0,0,171,44,97.8,9.96,9.68,9.9,9.96,9.86,9.76,moderate
Saratoga,t,Saratoga,Saratoga,95070,Entire guest suite,Entire home/apt,6,1,2,3,Real Bed,718.1781305,100,45,3,25,24,54,84,316,133,96.6,9.66,9.9,9.76,9.78,9.84,9.62,strict
Santa Clara,f,Santa Clara,Mountain View,95051,Entire rental unit,Entire home/apt,2,1,1,1,Real Bed,718.1781305,95,15,1,10,6,6,6,82,8,97.6,9.76,9.5,10,10,9.26,9,moderate
Santa Clara,f,Mountain View,Mountain View,95051,Entire rental unit,Entire home/apt,1,1,1,1,Real Bed,718.1781305,100,20,1,0,1,21,51,326,4,95,10,9.5,10,10,10,9,strict
Edenvale,t,San Jose,San Jose,95111,Private room in home,Private room,2,1,1,1,Real Bed,718.1781305,100,50,1,0,12,12,12,228,39,96.4,9.62,9.3,9.9,9.94,9.28,9.72,flexible
Palo Alto,t,Palo Alto,California,94306,Private room in home,Private room,1,1,1,1,Real Bed,718.1781305,500,150,1,0,0,0,0,165,88,98,9.8,9.52,9.96,9.98,9.76,9.72,strict
Mountain View,t,Mountain View,Mountain View,94041,Entire home,Entire home/apt,6,1,2,4,Real Bed,718.1781305,300,25,1,10,30,60,90,365,25,100,9.92,9.92,9.84,10,10,9.42,flexible
Santa Clara,f,Mountain View,Mountain View,94040,Entire rental unit,Entire home/apt,2,1,1,1,Real Bed,718.1781305,100,50,1,0,0,0,10,285,9,95.6,9.78,9.56,10,10,10,9.34,flexible
Palo Alto,f,Palo Alto,Palo Alto,94036,Entire guesthouse,Entire home/apt,1,1,1,1,Real Bed,718.1781305,100,50,1,0,24,52,82,357,251,97.2,9.8,9.88,9.82,9.66,9.82,9.48,flexible
Mountain View,t,Mountain View,Mountain View,94039,Entire rental unit,Entire home/apt,5,1,2,3,Real Bed,718.1781305,250,90,1,0,7,37,59,293,220,97,9.84,9.86,9.9,9.86,9.66,9.46,strict
Mountain View,t,Mountain View,Mountain View,94039,Private room in rental unit,Private room,2,1,1,1,Real Bed,718.1781305,150,45,1,15,0,2,2,2,8,95,8.58,9.72,10,9.72,9.72,9.72,strict
Mountain View,f,Mountain View,Mountain View,94043,Entire home,Entire home/apt,6,1,3,4,Real Bed,718.1781305,300,50,3,50,19,49,79,349,9,93.4,9.34,9.12,9.78,10,9.78,8.88,flexible
Santa Clara,f,Mountain View,Mountain View,94807,Entire rental unit,Entire home/apt,3,1,2,2,Real Bed,718.1781305,100,50,1,20,30,60,90,270,15,90.6,9.46,9.46,9.46,9.34,9.46,8.8,strict
Los Gatos,t,Los Gatos,Los Gatos,95030,Entire guest suite,Entire home/apt,2,1,1,1,Real Bed,718.1781305,100,40,1,0,19,49,79,168,17,96,9.38,9.88,9.62,9.76,10,9,strict
Santa Clara,t,Sunnyvale,San Francisco,94085,Private room in home,Private room,2,1,1,4,Real Bed,718.1781305,100,15,1,30,0,0,1,276,15,97.4,9.46,9.06,9.86,9.86,9.72,9.58,strict
Santa Clara,t,Santa Clara,San Francisco,94085,Shared room in home,Shared room,4,1,1,4,Real Bed,718.1781305,100,15,1,0,30,60,90,365,21,97,9.7,9.8,9.9,9.9,9.6,9.7,strict
Morgan Hill,f,Morgan Hill,Morgan Hill,95037,Private room in home,Private room,1,1,1,1,Real Bed,718.1781305,100,35,1,0,30,60,90,365,1,100,10,10,10,10,10,10,flexible
Palo Alto,t,Palo Alto,Palo Alto,94306,Private room in home,Private room,1,1,1,1,Real Bed,718.1781305,100,20,3,15,0,0,17,292,70,96.8,9.7,9.22,9.88,9.88,9.68,9.6,strict
Santa Clara,t,Sunnyvale,San Francisco,94085,Shared room in home,Shared room,6,1,1,4,Real Bed,718.1781305,100,30,1,0,30,60,90,365,18,100,10,9.38,9.88,10,9.62,9.5,flexible
Santa Clara,t,Sunnyvale,San Francisco,94085,Shared room in home,Shared room,6,1,1,4,Real Bed,718.1781305,100,50,1,0,30,60,90,365,23,96.6,9.04,9.22,10,9.92,9.56,9.4,flexible
Berryessa,t,San Jose,San Jose,95132,Entire home,Entire home/apt,7,1,3,4,Real Bed,718.1781305,100,50,2,25,0,0,0,0,4,95,9.5,8.5,10,10,10,10,strict
Palo Alto,t,Palo Alto,California,94306,Private room in home,Private room,2,1,1,1,Real Bed,1000,100,85,4,19,0,0,0,100,67,96.8,9.68,9.26,9.84,9.9,9.72,9.36,strict
Edenvale,t,San Jose,San Jose,95111,Private room in home,Private room,1,1,1,1,Real Bed,718.1781305,100,50,1,0,18,48,78,352,29,98.6,9.78,9.7,9.92,9.92,9.56,9.78,flexible
Palo Alto,f,Palo Alto,Palo Alto,94306,Entire bungalow,Entire home/apt,4,1,2,3,Real Bed,718.1781305,150,50,1,20,0,0,0,100,30,97.4,9.58,8.88,9.78,9.92,9.5,9.42,flexible
Mountain View,t,Mountain View,Mountain View,94041,Entire bungalow,Entire home/apt,6,1,2,5,Real Bed,718.1781305,500,50,1,0,27,57,87,362,73,98,9.86,9.76,9.92,9.98,10,9.56,strict
Sunnyvale,t,Sunnyvale,San Francisco,94085,Private room in home,Private room,2,1,1,1,Real Bed,718.1781305,200,80,4,50,2,19,47,322,223,95.4,9.74,9.68,9.92,9.74,9.62,9.58,strict
Edenvale,t,San Jose,San Jose,95111,Private room in home,Private room,2,1,1,1,Real Bed,718.1781305,100,35,1,0,0,0,0,203,45,98,9.54,9.28,9.96,9.82,9.22,9.72,moderate
Santa Clara,f,Sunnyvale,Mountain View,95051,Entire rental unit,Entire home/apt,2,1,1,2,Real Bed,718.1781305,100,50,1,0,18,48,78,261,15,96,9.86,9.6,9.86,10,9.46,9.6,flexible
Cupertino,t,Cupertino,Los Angeles,95014,Entire condo,Entire home/apt,5,1,1,2,Real Bed,718.1781305,100,50,1,0,24,54,84,358,56,96.8,9.74,9.24,9.74,9.92,9.88,9.52,flexible
Palo Alto,t,United States,United States,94022,Entire cottage,Entire home/apt,2,1,1,1,Real Bed,718.1781305,200,50,2,17,26,56,85,85,193,97.6,9.78,9.78,9.92,9.92,9.64,9.52,strict
Los Gatos,t,Los Gatos,Los Gatos,95033,Entire guesthouse,Entire home/apt,2,1,1,1,Real Bed,718.1781305,100,50,1,0,0,0,3,3,230,100,9.96,10,9.98,9.96,9.86,9.94,flexible
Palo Alto,t,Palo Alto,Palo Alto,94301,Entire condo,Entire home/apt,3,1,2,2,Real Bed,718.1781305,150,45,1,20,0,0,1,126,47,99.6,9.96,10,10,9.86,10,9.6,strict
Los Altos,t,Los Altos,United States,94022,Private room in home,Private room,1,1,1,1,Real Bed,718.1781305,100,50,1,0,28,58,87,87,32,94.4,9.38,9.32,9.62,9.94,9.76,9.06,strict
Fremont,t,Milpitas,Fremont,95035,Entire townhouse,Entire home/apt,6,1,2,5,Real Bed,718.1781305,200,100,2,10,0,30,60,334,111,94.2,9.68,9.72,9.74,9.74,9.44,9.52,moderate
Palo Alto,t,Menlo Park,Menlo Park,94301,Entire home,Entire home/apt,6,1,3,3,Real Bed,718.1781305,100,10,1,20,0,0,4,21,237,98.8,9.88,9.82,9.9,9.94,9.82,9.54,strict
College Park,t,San Jose,San Jose,95126,Private room in home,Private room,1,1,1,1,Futon,718.1781305,100,50,1,0,0,0,0,261,162,98.6,9.94,9.82,9.94,9.96,9.94,9.8,strict
Santa Clara,t,San Jose,San Francisco,95112,Shared room in home,Shared room,4,1,1,3,Real Bed,718.1781305,2000,50,1,30,30,60,90,365,24,94.8,8.86,8.78,9.64,10,9,9,strict
Santa Clara,t,San Francisco,San Francisco,94085,Private room in home,Private room,6,1,1,4,Real Bed,718.1781305,400,50,1,30,30,60,90,365,18,98.8,9.78,9.66,9.88,9.88,9.78,9.88,strict
Santa Clara,t,San Jose,San Francisco,95112,Private room in home,Private room,2,1,1,1,Real Bed,718.1781305,500,15,1,0,30,60,90,365,16,90,7.76,8.62,9.5,9.88,9,8.76,flexible
Santa Clara,t,Sunnyvale,San Francisco,94085,Shared room in home,Shared room,6,1,1,4,Real Bed,718.1781305,100,25,1,0,30,60,90,365,19,100,9.76,9.12,10,10,9.3,9.3,moderate
Saratoga,f,Saratoga,Saratoga,95070,Entire home,Entire home/apt,6,1,3,3,Real Bed,718.1781305,100,100,1,0,27,57,87,361,43,98.2,9.68,9.86,9.82,10,10,9.68,flexible
Berryessa,t,San Jose,San Jose,95132,Private room in home,Private room,1,1,1,1,Real Bed,718.1781305,200,50,1,52,14,17,17,278,67,97.6,9.84,9.7,9.9,9.96,9.78,9.82,strict
Santa Clara,t,San Jose,San Francisco,95112,Shared room in home,Shared room,4,1,1,3,Real Bed,718.1781305,100,50,1,0,30,60,90,365,23,96.2,9.28,9.36,9.64,9.82,9.46,9.28,flexible
Mountain View,t,Mountain View,San Francisco,94039,Entire home,Entire home/apt,6,1,3,3,Real Bed,718.1781305,100,20,1,0,8,13,13,242,37,95.8,9.94,9.42,9.88,10,9.72,9.38,moderate
West Valley,t,San Jose,San Jose,95128,Entire loft,Entire home/apt,4,1,1,1,Real Bed,718.1781305,500,35,1,15,10,40,70,345,95,99.4,9.9,9.94,10,9.96,9.98,9.8,moderate
Palo Alto,t,Palo Alto,United States,94022,Entire home,Entire home/apt,6,1,3,3,Real Bed,718.1781305,200,55,1,15,5,24,41,85,29,97.8,9.86,9.18,9.92,9.78,9.7,9.3,moderate
Santa Clara,t,San Jose,San Francisco,95112,Shared room in home,Shared room,4,1,1,3,Real Bed,718.1781305,100,50,1,0,25,55,85,360,27,97,9.7,9.34,9.92,10,9.56,9.62,flexible
Palo Alto,t,Palo Alto,Palo Alto,94306,Entire place,Entire home/apt,2,1,1,1,Real Bed,718.1781305,100,50,1,15,3,33,62,62,1,100,10,10,10,10,10,10,strict
Palo Alto,t,Palo Alto,Palo Alto,94301,Private room in home,Private room,1,1,1,1,Real Bed,718.1781305,100,5,1,20,0,0,17,292,204,95.8,9.68,9.64,9.72,9.7,9.8,9.44,moderate
Los Altos,f,Los Altos,Los Altos,94024,Private room in home,Private room,1,1,1,1,Real Bed,718.1781305,179,49,1,0,29,59,89,179,46,95.6,9.6,9.6,9.82,9.78,9.54,9.6,moderate
Willow Glen,t,San Jose,San Jose,95125,Entire guest suite,Entire home/apt,2,1,1,1,Real Bed,718.1781305,100,25,1,20,16,46,75,75,245,98,9.86,9.84,9.94,9.94,9.94,9.7,strict
Palo Alto,t,Palo Alto,Palo Alto,94301,Entire bungalow,Entire home/apt,3,1,1,2,Real Bed,718.1781305,100,50,1,13,19,49,79,79,26,96.2,9.3,9.92,9.92,9.84,9.08,9.46,flexible
Palo Alto,t,Palo Alto,Santa Clara,94306,Entire rental unit,Entire home/apt,5,1,2,3,Real Bed,718.1781305,100,15,1,0,30,60,90,90,50,88.4,9,9.24,9.76,9.88,8.66,8.38,strict
Palo Alto,t,Palo Alto,Palo Alto,94301,Entire guesthouse,Entire home/apt,2,1,1,1,Real Bed,718.1781305,100,20,1,30,0,19,26,271,122,98.2,9.86,9.7,9.98,9.96,9.9,9.66,moderate
Palo Alto,t,Palo Alto,Palo Alto,94303,Entire guest suite,Entire home/apt,2,1,1,1,Real Bed,718.1781305,300,60,2,15,0,0,0,171,189,99.4,9.96,9.96,9.98,9.96,9.8,9.76,strict
Campbell,t,San Jose,San Jose,95008,Private room in guest suite,Private room,2,1,1,1,Real Bed,718.1781305,150,40,2,20,0,0,0,203,35,97.8,9.76,9.88,9.88,9.88,9.76,9.7,strict
Campbell,t,San Jose,San Jose,95008,Private room in guest suite,Private room,2,1,1,1,Real Bed,718.1781305,100,50,1,0,0,0,0,202,53,95.2,9.52,9.26,9.8,9.76,9.52,9.46,flexible
Mountain View,t,Mountain View,Mountain View,94040,Entire home,Entire home/apt,5,1,3,4,Real Bed,718.1781305,100,50,1,0,0,0,0,0,3,100,10,10,10,10,9.34,10,flexible
Campbell,t,Campbell,Campbell,95032,Private room in home,Private room,1,1,1,1,Real Bed,718.1781305,100,50,1,0,0,0,0,33,64,100,10,10,9.96,10,9.84,9.9,strict
Mountain View,t,Mountain View,Mountain View,94043,Private room in rental unit,Private room,1,1,1,1,Real Bed,718.1781305,100,50,1,0,0,2,2,204,8,77.6,8,6,9.42,8.58,9.42,9.42,flexible
Palo Alto,t,Palo Alto,Palo Alto,94301,Entire home,Entire home/apt,2,1,2,2,Real Bed,718.1781305,500,100,3,25,7,14,44,318,78,97.6,9.72,9.62,9.76,9.84,9.94,9.52,strict
Willow Glen,t,San Jose,San Jose,95125,Entire home,Entire home/apt,8,1,4,5,Real Bed,718.1781305,100,35,1,15,25,48,78,168,136,96.2,9.78,9.62,9.84,9.72,9.86,9.5,strict
Berryessa,t,San Jose,San Jose,95131,Entire home,Entire home/apt,6,1,4,5,Real Bed,718.1781305,100,50,1,0,18,48,78,353,15,98.6,10,10,10,10,9.86,9.58,flexible
Palo Alto,t,Palo Alto,Palo Alto,94301,Entire home,Entire home/apt,5,1,3,4,Real Bed,718.1781305,100,50,1,20,0,0,17,17,9,100,10,9.26,10,10,10,9.76,strict
Berryessa,t,San Jose,San Jose,95031,Entire townhouse,Entire home/apt,6,1,3,2,Real Bed,718.1781305,200,50,1,0,4,34,64,339,16,98.6,9.62,10,9.88,10,9.88,9.76,strict
South San Jose,f,San Jose,San Jose,95118,Private room in home,Private room,1,1,1,1,Real Bed,718.1781305,100,50,1,0,0,0,0,0,2,100,10,10,10,10,10,10,strict
Santa Clara,t,Sunnyvale,San Francisco,94085,Shared room in home,Shared room,6,1,1,4,Real Bed,718.1781305,100,50,1,100,30,60,90,365,16,92.6,9.12,9,9.5,9.88,9.62,8.88,strict
Santa Clara,t,Sunnyvale,San Francisco,94085,Shared room in home,Shared room,6,1,1,4,Real Bed,718.1781305,500,75,1,10,30,60,90,365,15,95.8,8.72,9,9.86,10,9.58,9.14,moderate
Santa Clara,t,Sunnyvale,San Francisco,94085,Shared room in home,Shared room,6,1,1,4,Real Bed,718.1781305,100,50,1,0,30,60,90,365,12,98.4,9.5,9.16,10,10,9.84,9.66,flexible
Santa Clara,f,Sunnyvale,Mountain View,94086,Entire townhouse,Entire home/apt,4,1,3,3,Real Bed,718.1781305,100,50,1,0,0,0,0,270,11,98,9.78,10,10,10,10,10,flexible
Mountain View,t,Mountain View,California,94043,Entire home,Entire home/apt,8,1,3,3,Real Bed,718.1781305,100,60,1,25,0,18,48,137,48,100,9.92,10,10,10,9.88,9.84,strict
Downtown,t,San Jose,Miami,95112,Entire guesthouse,Entire home/apt,2,1,1,3,Real Bed,718.1781305,100,50,1,0,0,0,29,304,184,88.4,9.22,8.64,9.58,9.36,9.26,8.66,moderate
Santa Cruz,f,Los Gatos,Los Gatos,95030,Entire home,Entire home/apt,1,1,1,1,Real Bed,718.1781305,200,50,1,0,30,60,90,365,1,100,10,10,10,10,10,10,flexible
Cupertino,t,Cupertino,Cupertino,95014,Private room in townhouse,Private room,1,1,1,1,Real Bed,718.1781305,100,50,1,0,30,60,90,364,67,96.4,9.88,9.7,9.88,9.84,9.82,9.52,strict
West Valley,t,San Jose,San Jose,95128,Entire condo,Entire home/apt,4,1,2,2,Real Bed,718.1781305,100,50,1,0,0,0,0,258,51,98.8,9.84,9.8,9.92,9.92,10,9.34,flexible
Mountain View,t,Mountain View,Mountain View,94041,Entire condo,Entire home/apt,4,1,1,1,Real Bed,718.1781305,100,50,1,0,0,0,0,0,56,90.6,9.32,8.8,9.58,9.88,9.66,9.28,flexible
West Valley,t,San Jose,San Jose,95130,Shared room in home,Shared room,1,1,1,4,Real Bed,718.1781305,100,50,1,20,0,0,18,293,51,98.8,10,9.8,9.92,9.96,9.76,9.8,strict
Palo Alto,f,Palo Alto,Palo Alto,94301,Entire rental unit,Entire home/apt,2,1,1,1,Real Bed,718.1781305,100,50,1,0,9,38,68,343,49,89,9.18,8.74,9.38,9.02,9.96,9.1,flexible
Los Gatos,t,Los Gatos,Los Gatos,95033,Entire cabin,Entire home/apt,3,1,1,2,Real Bed,718.1781305,100,30,3,25,3,32,62,337,300,98,9.74,9.74,9.88,9.84,9.76,9.52,moderate
Shasta/Hanchett Park,t,San Jose,San Jose,95126,Private room in home,Private room,2,1,1,1,Real Bed,718.1781305,100,50,1,20,21,25,41,316,460,95.6,9.7,9.64,9.78,9.82,9.7,9.56,strict
Los Altos Hills,t,Los Altos Hills,Los Altos Hills,94022,Entire home,Entire home/apt,3,1,2,2,Real Bed,718.1781305,100,20,1,0,18,35,65,79,6,100,9.66,10,10,10,10,10,flexible
Sunnyvale,t,Sunnyvale,Sunnyvale,94085,Private room in home,Private room,1,1,1,1,Real Bed,718.1781305,100,100,1,20,0,3,33,308,6,96.6,9.66,9.34,9.66,9.66,9,9.34,moderate
Five Wounds/Brookwood Terrace,t,San Jose,San Francisco,95116,Entire home,Entire home/apt,7,1,3,4,Real Bed,718.1781305,100,20,1,40,24,54,84,263,186,95.4,9.68,9.66,9.88,9.94,9.5,9.54,flexible
Palo Alto,t,Palo Alto,Palo Alto,94036,Private room in condo,Private room,1,1,1,1,Real Bed,718.1781305,100,20,1,0,26,56,86,176,86,98.8,9.74,9.88,9.98,9.98,9.88,9.76,strict
North San Jose,t,Santa Clara,Santa Clara,95134,Entire rental unit,Entire home/apt,3,1,1,1,Real Bed,718.1781305,200,50,2,14,30,60,90,365,48,97.8,9.82,9.74,9.82,9.92,9.7,9.66,strict
Palo Alto,t,Palo Alto,Palo Alto,94301,Entire home,Entire home/apt,6,1,5,7,Real Bed,718.1781305,100,50,1,0,0,0,0,80,14,92.8,9.54,9.38,9.38,9.7,10,8.76,flexible
Santa Clara,t,Mountain View,San Francisco,94041,Shared room in home,Shared room,4,1,1,4,Real Bed,718.1781305,150,35,1,35,30,60,90,365,19,95.8,9.06,8.32,9.9,9.68,9.68,9.26,flexible
